id,objective,theta0,theta1
0,2.85,2.282,4.63674368
1,2.74656,2.536352,3.927487435
2,2.60870016,2.741564672,3.340654164
3,2.481152886,2.929981064,2.843579751
4,2.363753819,3.103383745,2.422532276
5,2.255704973,3.262975458,2.065883507
6,2.1562618,3.409856303,1.763783741
7,2.064738893,3.545038653,1.507889772
8,1.980505434,3.669454248,1.291134478
9,1.902980846,3.78396062,1.107531648
10,1.831630794,3.889346999,0.95201065
11,1.765963499,3.986339758,0.820276403
12,1.705526351,4.075607417,0.708690751
13,1.64990279,4.157765249,0.614171991
14,1.598709432,4.233379527,0.534109762
15,1.551593428,4.302971417,0.466292955
16,1.508230033,4.367020582,0.408848647
17,1.468320366,4.425968476,0.360190378
18,1.43158935,4.480221397,0.318974332
19,1.397783818,4.530153282,0.284062232
20,1.366670767,4.576108283,0.254489895
21,1.338035751,4.618403146,0.229440612
22,1.311681404,4.657329385,0.208222586
23,1.287426079,4.693155299,0.190249832
24,1.265102598,4.726127817,0.17502599
25,1.244557096,4.756474201,0.162130616
26,1.225647965,4.784403611,0.151207573
27,1.208244873,4.810108552,0.141955198
28,1.19222787,4.833766192,0.134117961
29,1.17748656,4.855539593,0.127479421
30,1.163919339,4.875578826,0.121856238
31,1.151432695,4.894022011,0.117093114
32,1.139940564,4.910996267,0.113058503
33,1.129363737,4.926618589,0.109640982
34,1.119629314,4.940996653,0.106746167
35,1.1106702,4.954229559,0.10429411
36,1.102424645,4.966408516,0.102217092
37,1.094835817,4.977617465,0.100457751
38,1.08785141,4.987933665,0.0989675
39,1.081423284,4.997428219,0.097705181
40,1.075507133,5.006166568,0.096635932
41,1.070062181,5.014208941,0.095730223
42,1.065050899,5.02161077,0.094963041
43,1.060438746,5.028423072,0.094313199
44,1.056193933,5.034692801,0.09376275
45,1.052287204,5.040463169,0.093296491
46,1.04869163,5.04577395,0.092901546
47,1.04538243,5.050661748,0.092567007
48,1.042336795,5.055160251,0.092283635
49,1.039533733,5.059300466,0.092043605
50,1.036953924,5.063110928,0.091840287
51,1.034579587,5.066617902,0.091668067
52,1.032394357,5.069845559,0.091522187
53,1.030383172,5.072816145,0.09139862
54,1.028532171,5.075550136,0.091293952
55,1.026828594,5.078066375,0.091205292
56,1.025260701,5.080382205,0.091130193
57,1.023817684,5.082513588,0.091066581
58,1.022489598,5.084475215,0.091012698
59,1.021267289,5.086280605,0.090967056
60,1.020142333,5.087942203,0.090928395
61,1.019106974,5.089471462,0.090895647
62,1.018154078,5.09087892,0.090867908
63,1.017277077,5.09217428,0.090844412
64,1.016469925,5.09336647,0.090824509
65,1.01572706,5.094463706,0.090807651
66,1.015043361,5.095473552,0.090793371
67,1.014414117,5.096402967,0.090781275
68,1.013834989,5.097258358,0.090771029
69,1.013301986,5.098045621,0.09076235
70,1.012811435,5.09877018,0.090754999
71,1.012359955,5.099437032,0.090748772
72,1.011944433,5.100050771,0.090743497
73,1.011562006,5.100615629,0.090739029
74,1.011210038,5.101135497,0.090735245
75,1.010886102,5.10161396,0.090732039
76,1.010587967,5.102054316,0.090729324
77,1.010313578,5.102459599,0.090727024
78,1.010061042,5.102832602,0.090725075
79,1.00982862,5.103175897,0.090723425
80,1.009614709,5.10349185,0.090722027
81,1.009417835,5.103782639,0.090720843
82,1.009236642,5.104050268,0.09071984
83,1.00906988,5.10429658,0.090718991
84,1.0089164,5.104523275,0.090718271
85,1.008775144,5.104731915,0.090717662
86,1.008645139,5.104923937,0.090717145
87,1.008525488,5.105100666,0.090716708
88,1.008415367,5.105263318,0.090716337
89,1.008314016,5.105413016,0.090716024
90,1.008220738,5.105550792,0.090715758
91,1.008134889,5.105677594,0.090715533
92,1.008055877,5.105794296,0.090715342
93,1.007983159,5.105901704,0.09071518
94,1.007916232,5.106000557,0.090715044
95,1.007854636,5.106091537,0.090714928
96,1.007797945,5.10617527,0.090714829
97,1.00774577,5.106252335,0.090714746
98,1.00769775,5.106323262,0.090714676
99,1.007653555,5.106388539,0.090714616
